月,집,자가용,통장잔고,주식1(삼전),주식2(KB),주식3(CJ),주식수1,주식수2,주식수3,금융자산,전세대출,자가용 남은 할부금,고정수익,유동수익,유동지출,커피,순수식비,주전부리,술/담배,생활필수품,여가생활,기름값,주식매입,고정지출,전세 대출 이자,자가용 할부금,자동차 보험료,공과금,통신비,OTT/구독료
25,350000000,36000000,39211000,58700,39050,98800,100,90,80,17288500,200000000,10000000,5400000,0,2070000,210000,900000,280000,310000,190000,100000,80000,0,2300000,670000,1040000,250000,200000,100000,40000
26,350000000,36000000,40241000,55600,36950,95800,100,90,80,16549500,200000000,8960000,5400000,0,2240000,250000,910000,260000,350000,160000,180000,130000,0,2300000,670000,1040000,250000,200000,100000,40000
27,350000000,36000000,41101000,56900,35500,80000,100,90,80,15285000,200000000,7920000,5400000,0,2210000,220000,980000,210000,370000,150000,190000,90000,0,2300000,670000,1040000,250000,200000,100000,40000
28,350000000,36000000,41991000,55000,35750,83400,100,90,80,15389500,200000000,6880000,5400000,0,2180000,220000,960000,270000,300000,160000,160000,110000,0,2300000,670000,1040000,250000,200000,100000,40000
29,350000000,36000000,42911000,55500,38050,79400,100,90,80,15326500,200000000,5840000,5400000,0,2060000,200000,920000,220000,320000,180000,120000,100000,0,2300000,670000,1040000,250000,200000,100000,40000
30,350000000,36000000,51143000,48500,33000,84100,50,30,60,8461000,200000000,4800000,5400000,4767000,2180000,290000,910000,210000,360000,160000,150000,100000,0,2300000,670000,1040000,250000,200000,100000,40000
31,350000000,36000000,52063000,47000,31150,84400,50,30,60,8348500,200000000,3760000,5400000,0,2140000,270000,990000,210000,300000,180000,120000,70000,0,2300000,670000,1040000,250000,200000,100000,40000
32,350000000,36000000,53023000,57800,38700,87000,50,30,60,9271000,200000000,2720000,5400000,0,2240000,260000,900000,280000,370000,190000,120000,120000,0,2300000,670000,1040000,250000,200000,100000,40000
33,350000000,36000000,53883000,59500,44200,85400,50,30,60,9425000,200000000,1680000,5400000,0,2110000,200000,910000,290000,300000,160000,180000,70000,0,2300000,670000,1040000,250000,200000,100000,40000
34,350000000,36000000,54873000,55500,47150,77700,50,30,60,8851500,200000000,640000,5400000,0,2320000,270000,980000,290000,380000,180000,140000,80000,0,2300000,670000,1040000,250000,200000,100000,40000
35,350000000,36000000,55653000,49500,46050,79800,50,30,60,8644500,200000000,0,5400000,0,2350000,250000,960000,270000,380000,190000,180000,120000,0,1900000,670000,640000,250000,200000,100000,40000
36,350000000,36000000,56803000,52700,43950,78200,50,30,60,8645500,200000000,0,5400000,5400000,2210000,220000,940000,210000,390000,170000,190000,90000,0,1260000,670000,0,250000,200000,100000,40000
